10000 79990
0 9296 90
9296 0 90
0 3163 14
3163 0 14
0 1839 4
1839 0 4
0 2045 83
2045 0 83
1 5677 54
5677 1 54
1 5955 96
5955 1 96
1 9645 47
9645 1 47
1 6531 93
6531 1 93
2 7489 38
7489 2 38
2 6535 16
6535 2 16
2 7477 90
7477 2 90
2 9613 3
9613 2 3
3 83 30
83 3 30
3 1064 40
1064 3 40
3 2987 81
2987 3 81
3 6564 63
6564 3 63
4 8098 91
8098 4 91
4 8721 56
8721 4 56
4 9646 84
9646 4 84
4 7236 6
7236 4 6
5 6424 81
6424 5 81
5 7174 94
7174 5 94
5 4675 37
4675 5 37
5 3255 70
3255 5 70
6 4396 13
4396 6 13
6 7296 84
7296 6 84
6 9940 32
9940 6 32
6 6768 74
6768 6 74
7 7908 60
7908 7 60
7 1709 37
1709 7 37
7 268 80
268 7 80
7 8003 70
8003 7 70
8 9037 83
9037 8 83
8 246 90
246 8 90
8 4917 84
4917 8 84
8 5262 91
5262 8 91
9 5963 98
5963 9 98
9 519 66
519 9 66
9 8950 82
8950 9 82
9 7282 11
7282 9 11
10 8183 24
8183 10 24
10 5002 38
5002 10 38
10 8101 70
8101 10 70
10 959 49
959 10 49
11 2189 42
2189 11 42
11 2587 64
2587 11 64
11 4681 76
4681 11 76
11 4593 56
4593 11 56
12 7095 70
7095 12 70
12 1780 92
1780 12 92
12 5314 3
5314 12 3
12 1677 84
1677 12 84
13 7688 39
7688 13 39
13 9281 30
9281 13 30
13 6094 1
6094 13 1
13 1501 44
1501 13 44
14 4896 74
4896 14 74
14 3773 38
3773 14 38
14 8486 50
8486 14 50
14 9110 2
9110 14 2
15 3838 25
3838 15 25
15 3154 35
3154 15 35
15 5683 80
5683 15 80
15 1878 94
1878 15 94
16 1258 11
1258 16 11
16 6875 74
6875 16 74
16 7996 98
7996 16 98
16 5735 71
5735 16 71
17 9732 96
9732 17 96
17 6340 93
6340 17 93
17 8884 42
8884 17 42
17 4954 34
4954 17 34
18 3516 77
3516 18 77
18 7142 34
7142 18 34
18 5039 9
5039 18 9
18 2256 90
2256 18 90
19 2449 79
2449 19 79
19 7928 72
7928 19 72
19 4951 45
4951 19 45
19 9150 76
9150 19 76
20 9453 66
9453 20 66
20 5332 37
5332 20 37
20 2524 38
2524 20 38
20 7208 65
7208 20 65
21 3674 6
3674 21 6
21 4986 8
4986 21 8
21 2265 10
2265 21 10
21 3535 81
3535 21 81
22 6508 7
6508 22 7
22 3129 23
3129 22 23
22 7687 16
7687 22 16
22 7818 69
7818 22 69
23 8524 13
8524 23 13
23 9499 26
9499 23 26
23 1073 44
1073 23 44
23 9107 11
9107 23 11
24 3360 32
3360 24 32
24 8263 36
8263 24 36
24 8981 77
8981 24 77
24 427 10
427 24 10
25 1957 94
1957 25 94
25 2945 33
2945 25 33
25 6269 43
6269 25 43
25 862 28
862 25 28
26 1429 79
1429 26 79
26 5158 46
5158 26 46
26 6893 9
6893 26 9
26 8566 8
8566 26 8
27 6473 33
6473 27 33
27 5816 20
5816 27 20
27 7111 84
7111 27 84
27 2524 7
2524 27 7
28 9001 56
9001 28 56
28 4422 58
4422 28 58
28 205 47
205 28 47
28 9596 95
9596 28 95
29 6522 35
6522 29 35
29 5132 89
5132 29 89
29 6823 44
6823 29 44
29 4895 100
4895 29 100
30 9264 81
9264 30 81
30 5158 95
5158 30 95
30 721 38
721 30 38
30 5675 41
5675 30 41
31 6152 29
6152 31 29
31 9415 46
9415 31 46
31 4153 77
4153 31 77
31 2644 58
2644 31 58
32 973 38
973 32 38
32 4858 63
4858 32 63
32 4646 74
4646 32 74
32 297 92
297 32 92
33 6942 54
6942 33 54
33 7169 52
7169 33 52
33 7298 11
7298 33 11
33 4143 13
4143 33 13
34 150 65
150 34 65
34 9089 45
9089 34 45
34 7893 8
7893 34 8
34 1651 16
1651 34 16
35 3127 8
3127 35 8
35 6109 88
6109 35 88
35 3644 17
3644 35 17
35 1560 93
1560 35 93
36 1773 1
1773 36 1
36 8678 81
8678 36 81
36 2900 31
2900 36 31
36 5851 25
5851 36 25
37 4539 77
4539 37 77
37 4111 71
4111 37 71
37 8826 89
8826 37 89
37 6927 92
6927 37 92
38 2792 23
2792 38 23
38 644 43
644 38 43
38 1986 17
1986 38 17
38 9316 22
9316 38 22
39 8544 84
8544 39 84
39 9547 92
9547 39 92
39 522 69
522 39 69
39 5794 41
5794 39 41
40 4804 23
4804 40 23
40 217 84
217 40 84
40 3736 78
3736 40 78
40 4140 74
4140 40 74
41 6039 86
6039 41 86
41 6717 98
6717 41 98
41 8388 41
8388 41 41
41 7795 60
7795 41 60
42 4007 74
4007 42 74
42 7945 27
7945 42 27
42 8931 77
8931 42 77
42 2624 94
2624 42 94
43 9891 88
9891 43 88
43 8533 12
8533 43 12
43 7314 97
7314 43 97
43 3555 31
3555 43 31
44 8832 61
8832 44 61
44 8679 17
8679 44 17
44 9557 86
9557 44 86
44 1 73
1 44 73
45 165 7
165 45 7
45 3140 52
3140 45 52
45 9953 60
9953 45 60
45 1488 46
1488 45 46
46 1673 60
1673 46 60
46 7585 32
7585 46 32
46 695 82
695 46 82
46 7054 10
7054 46 10
47 4691 18
4691 47 18
47 101 23
101 47 23
47 7748 48
7748 47 48
47 7942 92
7942 47 92
48 1495 100
1495 48 100
48 237 61
237 48 61
48 7620 93
7620 48 93
48 2236 37
2236 48 37
49 2621 1
2621 49 1
49 4568 66
4568 49 66
49 2499 17
2499 49 17
49 5682 50
5682 49 50
50 8469 80
8469 50 80
50 3780 82
3780 50 82
50 4324 37
4324 50 37
50 8326 13
8326 50 13
51 3711 20
3711 51 20
51 405 3
405 51 3
51 5546 64
5546 51 64
51 4512 48
4512 51 48
52 7253 22
7253 52 22
52 3784 27
3784 52 27
52 8406 19
8406 52 19
52 4693 89
4693 52 89
53 5626 72
5626 53 72
53 6611 7
6611 53 7
53 4622 25
4622 53 25
53 6236 93
6236 53 93
54 2218 21
2218 54 21
54 7328 47
7328 54 47
54 3816 77
3816 54 77
54 1948 54
1948 54 54
55 2711 56
2711 55 56
55 2492 24
2492 55 24
55 1521 28
1521 55 28
55 7713 2
7713 55 2
56 2554 43
2554 56 43
56 1275 5
1275 56 5
56 6651 6
6651 56 6
56 4128 32
4128 56 32
57 6677 45
6677 57 45
57 6598 17
6598 57 17
57 3053 31
3053 57 31
57 2012 45
2012 57 45
58 2220 48
2220 58 48
58 1199 71
1199 58 71
58 371 71
371 58 71
58 341 60
341 58 60
59 2304 98
2304 59 98
59 2283 67
2283 59 67
59 6249 88
6249 59 88
59 8925 42
8925 59 42
60 7797 80
7797 60 80
60 7214 14
7214 60 14
60 3104 27
3104 60 27
60 3630 23
3630 60 23
61 1960 54
1960 61 54
61 9354 70
9354 61 70
61 5617 25
5617 61 25
61 8172 20
8172 61 20
62 3489 80
3489 62 80
62 7997 41
7997 62 41
62 1041 44
1041 62 44
62 7121 63
7121 62 63
63 9174 68
9174 63 68
63 8035 44
8035 63 44
63 3271 30
3271 63 30
63 2551 100
2551 63 100
64 4950 20
4950 64 20
64 4136 56
4136 64 56
64 4249 48
4249 64 48
64 743 9
743 64 9
65 6033 32
6033 65 32
65 7471 60
7471 65 60
65 7975 5
7975 65 5
65 3815 37
3815 65 37
66 7971 13
7971 66 13
66 4717 3
4717 66 3
66 7213 74
7213 66 74
66 1892 27
1892 66 27
67 4345 72
4345 67 72
67 8234 68
8234 67 68
67 8262 83
8262 67 83
67 1895 80
1895 67 80
68 201 61
201 68 61
68 7034 51
7034 68 51
68 3472 44
3472 68 44
68 4195 11
4195 68 11
69 7680 49
7680 69 49
69 9628 41
9628 69 41
69 8925 59
8925 69 59
69 1349 45
1349 69 45
70 7978 24
7978 70 24
70 6820 64
6820 70 64
70 5300 23
5300 70 23
70 8659 26
8659 70 26
71 7532 98
7532 71 98
71 932 45
932 71 45
71 3294 9
3294 71 9
71 4123 12
4123 71 12
72 9 47
9 72 47
72 5975 78
5975 72 78
72 6825 40
6825 72 40
72 3662 63
3662 72 63
73 3964 80
3964 73 80
73 4753 50
4753 73 50
73 5810 4
5810 73 4
73 1371 72
1371 73 72
74 9994 70
9994 74 70
74 5073 32
5073 74 32
74 4930 84
4930 74 84
74 1868 5
1868 74 5
75 2960 63
2960 75 63
75 7985 3
7985 75 3
75 2947 75
2947 75 75
75 6971 40
6971 75 40
76 2729 52
2729 76 52
76 9125 47
9125 76 47
76 2985 68
2985 76 68
76 8898 86
8898 76 86
77 9467 32
9467 77 32
77 1689 32
1689 77 32
77 3592 17
3592 77 17
77 6821 69
6821 77 69
78 9213 82
9213 78 82
78 1449 19
1449 78 19
78 998 4
998 78 4
78 4116 51
4116 78 51
79 9751 78
9751 79 78
79 415 62
415 79 62
79 1869 95
1869 79 95
79 6087 23
6087 79 23
80 872 79
872 80 79
80 3162 42
3162 80 42
80 6101 70
6101 80 70
80 2011 26
2011 80 26
81 6918 51
